snailID,concentration,confct,time,status
G13,1,a,12,2
G13,1,a,12,2
G13,1,a,12,2
G13,5,b,8,2
G13,5,b,8,2
G13,5,b,8,2
G13,5,b,12,2
G13,5,b,12,2
G13,5,b,12,2
G13,5,b,12,2
G13,5,b,12,2
G13,5,b,12,2
G13,5,b,12,2
G13,5,b,12,2
G13,5,b,24,2
G13,5,b,24,2
G13,5,b,24,2
G13,5,b,24,2
G13,5,b,24,2
G13,5,b,24,1
G13,10,c,8,2
G13,10,c,8,2
G13,10,c,8,2
G13,10,c,8,2
G13,10,c,8,2
G13,10,c,12,2
G13,10,c,12,2
G13,10,c,12,2
G13,10,c,12,2
G13,10,c,12,2
G13,10,c,12,2
G13,10,c,12,2
G13,10,c,24,2
G13,10,c,24,2
G13,10,c,24,2
G13,10,c,24,2
G13,10,c,24,2
G13,10,c,24,2
G13,10,c,24,2
G13,10,c,24,1
G13,15,d,8,2
G13,15,d,8,2
G13,15,d,8,2
G13,15,d,8,2
G13,15,d,8,2
G13,15,d,8,2
G13,15,d,8,2
G13,15,d,12,2
G13,15,d,12,2
G13,15,d,12,2
G13,15,d,12,2
G13,15,d,12,2
G13,15,d,12,2
G13,15,d,12,2
G13,15,d,12,2
G13,15,d,12,2
G13,15,d,12,2
G13,15,d,12,2
G13,15,d,24,2
G13,15,d,24,2
G13,15,d,24,2
G14,1,a,8,2
G14,1,a,8,2
G14,1,a,8,2
G14,1,a,8,2
G14,1,a,8,2
G14,1,a,12,2
G14,1,a,12,2
G14,1,a,12,2
G14,1,a,12,2
G14,1,a,12,2
G14,1,a,12,2
G14,1,a,12,2
G14,1,a,24,2
G14,1,a,24,2
G14,1,a,24,2
G14,1,a,24,2
G14,1,a,24,2
G14,1,a,24,2
G14,1,a,24,2
G14,5,b,4,2
G14,5,b,8,2
G14,5,b,8,2
G14,5,b,24,2
G14,5,b,24,2
G14,5,b,24,2
G14,5,b,24,2
G14,5,b,24,2
G14,5,b,24,2
G14,5,b,24,2
G14,5,b,24,2
G14,5,b,24,1
G14,5,b,24,1
G14,5,b,24,1
G14,5,b,24,1
G14,5,b,24,1
G14,5,b,24,1
G14,5,b,24,1
G14,5,b,24,1
G14,10,c,12,2
G14,10,c,12,2
G14,10,c,12,2
G14,10,c,12,2
G14,10,c,12,2
G14,10,c,24,2
G14,10,c,24,2
G14,10,c,24,2
G14,10,c,24,2
